COUNTRY,DATE,ISO3,WHO_REGION,TOTAL_CONF_CASES,TOTAL_PROB_CASES,TOTAL_CONF_DEATHS,NEW_CONF_CASES,NEW_PROB_CASES,NEW_CONF_DEATHS
Mozambique,2022-01-05,MOZ,AFRO,0,0,0,0,0,0
Benin,2022-01-09,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-01-09,CMR,AFRO,0,0,0,0,0,0
Congo,2022-01-09,COG,AFRO,0,0,0,0,0,0
Liberia,2022-01-09,LBR,AFRO,0,0,0,0,0,0
Nigeria,2022-01-09,NGA,AFRO,1,0,0,1,0,0
South Africa,2022-01-09,ZAF,AFRO,0,0,0,0,0,0
Benin,2022-01-16,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-01-16,CMR,AFRO,0,0,0,0,0,0
Central African Republic,2022-01-16,CAF,AFRO,3,0,0,3,0,0
Congo,2022-01-16,COG,AFRO,0,0,0,0,0,0
Ghana,2022-01-16,GHA,AFRO,0,0,0,0,0,0
Liberia,2022-01-16,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-01-16,MOZ,AFRO,0,0,0,0,0,0
Nigeria,2022-01-16,NGA,AFRO,2,0,0,1,0,0
South Africa,2022-01-16,ZAF,AFRO,0,0,0,0,0,0
Japan,2022-01-19,JPN,WPRO,0,0,0,0,0,0
Benin,2022-01-23,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-01-23,CMR,AFRO,0,0,0,0,0,0
Central African Republic,2022-01-23,CAF,AFRO,3,0,0,0,0,0
Congo,2022-01-23,COG,AFRO,0,0,0,0,0,0
Ghana,2022-01-23,GHA,AFRO,0,0,0,0,0,0
Liberia,2022-01-23,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-01-23,MOZ,AFRO,0,0,0,0,0,0
Nigeria,2022-01-23,NGA,AFRO,3,0,0,1,0,0
South Africa,2022-01-23,ZAF,AFRO,0,0,0,0,0,0
Benin,2022-01-30,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-01-30,CMR,AFRO,0,0,0,0,0,0
Central African Republic,2022-01-30,CAF,AFRO,4,0,0,1,0,0
Congo,2022-01-30,COG,AFRO,0,0,0,0,0,0
Ghana,2022-01-30,GHA,AFRO,0,0,0,0,0,0
Liberia,2022-01-30,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-01-30,MOZ,AFRO,0,0,0,0,0,0
