time,event,degree,inf_id
0.0,1,3.0,1
0.0,1,3.0,2
0.0,6,3.0,2
1.000729324456032,18,,0
1.000900849324709,101,49.0,3
1.024430809205257,18,,0
1.0244544592396125,101,51.0,4
1.0328485613714604,1,42.0,5
1.0550393082823641,1,25.0,6
1.1658441914046769,6,42.0,5
1.1777242742722664,1,1.0,7
1.2433714991462916,1,4.0,8
1.5579056360024814,1,3.0,9
1.6223296105065559,6,25.0,6
1.6251647982562234,1,45.0,10
1.7817831109016207,1,2.0,11
1.8115094902670592,6,45.0,10
1.8517820355433998,1,1.0,12
1.8557242027824319,1,40.0,13
1.8620963099089605,6,1.0,7
1.8838357888536434,1,31.0,14
1.8986726317071365,1,2.0,15
1.902300026013442,1,55.0,16
1.9224519130942828,1,60.0,17
1.9668620320844206,1,56.0,18
1.9885900747566385,7,3.0,2
1.989638972223485,2,5.0,19
2.000174440847849,18,,0
2.0001922973477564,101,48.0,20
2.0225344874134907,18,,0
2.0225618184814738,101,23.0,21
2.033591032285124,6,40.0,13
2.034913604546104,18,,0
2.034957072301585,101,33.0,22
2.0385173517637964,18,,0
2.0386023380239897,101,46.0,23
2.045225976483086,18,,0
2.045265267758511,101,15.0,24
2.047153510097644,18,,0
2.04718997458838,101,41.0,25
2.0480132970568397,6,1.0,12
2.0530455154877476,6,55.0,16
2.0753246086739465,6,2.0,15
2.115077514479749,1,9.0,26
2.1190324151228896,1,42.0,27
2.1208178501306607,6,56.0,18
2.1214075651686506,1,41.0,28
2.125033152257357,1,3.0,29
2.150735002411737,8,56.0,18
2.157200948336377,1,52.0,30
2.1642589989787795,1,58.0,31
2.179867352816719,1,54.0,32
2.186253045900056,1,11.0,33
2.188416403672407,1,50.0,34
2.1889325200445087,1,2.0,35
2.1934855639302446,1,43.0,36
2.1983369684541216,1,2.0,37
2.2074104128816203,6,41.0,28
2.2209527966227354,1,11.0,38
2.230096786435057,1,25.0,39
2.232642917366409,1,46.0,40
2.2448672469635986,1,2.0,41
2.289206683893063,1,3.0,42
2.3087779116646896,1,60.0,43
2.3388006924540163,6,58.0,31
2.370298284162877,6,11.0,38
2.3797331063825853,1,6.0,44
2.3848476352912615,6,2.0,37
2.3919288737908437,1,9.0,45
2.392527143048732,1,8.0,46
2.39405554380505,1,2.0,47
2.4000897381988002,1,54.0,48
2.4177269504777357,1,2.0,49
2.4214446239952787,7,42.0,5
2.4334042107679252,6,60.0,17
2.4380155596966513,1,7.0,50
2.4383422954508,1,34.0,51
2.4412848241852756,1,25.0,52
2.4586215268507825,6,2.0,47
2.4619904433946234,1,57.0,53
2.4701851342953947,6,54.0,48
2.470465556291971,1,44.0,54
2.4821363073491547,6,6.0,44
2.4948987578940756,1,23.0,55
2.496264915893729,6,31.0,14
2.4971364558055686,1,43.0,56
2.5146477626110184,1,3.0,57
2.5209018367353275,1,2.0,58
2.526361068840927,1,2.0,59
2.5286499053050338,1,17.0,60
2.552485884099193,1,5.0,61
2.5538825808687733,1,1.0,62
2.5624417935459674,1,53.0,63
