time,event,degree,inf_id
0.0,1,3.0,1
0.0,1,53.0,2
0.0,6,53.0,2
0.13180778239652383,1,3.0,3
0.14789887719480307,1,5.0,4
0.3763035612642116,1,9.0,5
0.3961284862942654,6,9.0,5
0.4199772219363674,1,13.0,6
0.45979791736892134,1,23.0,7
0.5095089466668993,1,8.0,8
0.5440849041419961,1,7.0,9
0.5832840226558749,1,7.0,10
0.6019027334958496,1,16.0,11
0.6060395856196416,1,2.0,12
0.6253890927618543,6,23.0,7
0.6529923755884969,6,16.0,11
0.8354351651250052,6,13.0,6
0.8414580599523018,6,7.0,10
0.8544195441499772,1,17.0,13
0.8715961434346768,1,40.0,14
0.8794933917495339,1,1.0,15
0.9409088931764019,6,1.0,15
0.9520144103990236,1,5.0,16
0.9817734249973314,6,5.0,4
1.0160145967799608,1,33.0,17
1.0279986966490973,1,2.0,18
1.0389750970968465,18,,0
1.0390307308448126,101,53.0,19
1.0438896845904164,18,,0
1.0438976952315593,101,52.0,20
1.0532953257038145,6,7.0,9
1.1073332443663937,1,4.0,21
1.138294059661289,6,33.0,17
1.1603439574406866,8,53.0,19
1.220044241129661,1,5.0,22
1.2211732962483541,1,55.0,23
1.3316202816257563,1,4.0,24
1.3793142611283578,6,4.0,24
1.417041584224357,1,44.0,25
1.436183198353406,1,54.0,26
1.4812692462089756,6,55.0,23
1.5089332933952546,6,5.0,22
1.5643362095562676,6,4.0,21
1.568958327054245,1,3.0,27
1.604143025903587,1,4.0,28
1.6169064536995794,1,47.0,29
1.6321046260121428,1,54.0,30
1.6358271711678731,1,3.0,31
1.6358551282458373,1,51.0,32
1.6404215845999652,1,5.0,33
1.6515738417182195,6,5.0,16
1.6527633405147124,1,4.0,34
1.6572191415758133,1,34.0,35
1.6627279654674427,6,4.0,28
1.672279845866917,1,6.0,36
1.7410913374133954,7,7.0,10
1.751505583996209,6,2.0,18
1.8028402300387978,6,3.0,27
1.8044803782663152,6,3.0,31
1.8080682201514005,6,54.0,26
1.8097935182206413,1,57.0,37
1.8165231602575074,6,54.0,30
1.8226670921148753,6,3.0,1
1.827229786010043,1,18.0,38
1.8314777933868496,6,51.0,32
1.8392994212959133,1,7.0,39
1.8493086492504278,9,53.0,19
1.8536424797409652,1,43.0,40
1.8579299870415913,6,5.0,33
1.8739746446599965,1,4.0,41
1.8833579608276592,1,11.0,42
1.89722752794699,7,53.0,2
1.9066871125475264,1,59.0,43
1.9124737130107543,7,16.0,11
1.9150835608068904,8,52.0,20
1.9446386885546136,1,57.0,44
1.9540877832885089,1,1.0,45
1.9895744992250217,1,1.0,46
1.9920114076336302,1,52.0,47
2.0001184549395274,6,1.0,46
2.004884600817985,18,,0
2.0048984221968,101,25.0,48
2.005785625822611,18,,0
2.005789842318059,101,54.0,49
2.007496998067375,18,,0
2.0075036991701745,101,38.0,50
2.0137507257476948,1,43.0,51
2.014394423874458,1,1.0,52
2.0149629503575084,2,5.0,53
2.0164284613868575,1,3.0,54
2.0195167203993654,18,,0
2.019533649391409,101,7.0,55
2.0236068619459298,18,,0
2.023615590941879,101,41.0,56
2.0265069335548955,1,3.0,57
