k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,10071,9945,9991,9954,9928,10078,9992,10118,10092,10033,9898,10037,9936,9907,9847,10135,9985,9971,10017,10001,10034,9991,9947,10003,10129,9963,9957,10100,10010,9833,9934,9970,9964,10028,10054,10032,10004,9923,10128,10006,9973,10001,9940,9967,9948,9927,10026,9965,9877,9933,9892,9994,9997,9911,9947,10014,9892,10052,9949,10018,9920,10149,10014,10039,9944,10000,10049,9978,9953,9985,9965,9941,9981,10011,9951,9891,9976,10019,10014,9969,9921,9968,9989,9980,10086,9989,9941,9932,9956,9937,9921,10003,10001,9853,9988,9948,9934,9987,9992,10040
2.0,5827,5700,5795,5857,5755,5812,5881,5842,5730,5774,5801,5736,5810,5784,5763,5935,5870,5758,5831,5699,5863,5737,5756,5765,5854,5823,5659,5976,5733,5765,5742,5775,5712,5788,5796,5803,5777,5755,5965,5817,5776,5815,5818,5739,5752,5802,5839,5778,5767,5784,5738,5789,5828,5819,5762,5874,5737,5812,5790,5780,5770,5919,5835,5825,5831,5650,5886,5776,5744,5772,5706,5824,5822,5921,5739,5829,5797,5849,5793,5838,5763,5726,5790,5666,5792,5702,5751,5764,5778,5667,5779,5723,5799,5716,5755,5860,5698,5719,5775,5770
3.0,3509,3439,3512,3515,3443,3493,3548,3540,3512,3454,3429,3482,3542,3416,3427,3551,3496,3464,3472,3468,3519,3437,3466,3405,3508,3470,3426,3549,3473,3414,3441,3490,3418,3475,3458,3511,3450,3464,3562,3438,3483,3529,3470,3448,3430,3513,3536,3471,3468,3457,3569,3556,3457,3404,3510,3530,3509,3474,3447,3448,3461,3493,3550,3474,3549,3441,3527,3431,3461,3481,3448,3477,3476,3613,3421,3445,3521,3541,3430,3451,3480,3398,3419,3400,3479,3448,3463,3508,3490,3414,3419,3417,3511,3476,3455,3479,3448,3425,3445,3501
4.0,2221,2177,2199,2223,2238,2196,2251,2305,2233,2148,2229,2187,2223,2177,2200,2257,2191,2148,2226,2193,2190,2241,2248,2146,2174,2246,2182,2274,2181,2180,2193,2169,2221,2207,2202,2216,2200,2248,2255,2164,2161,2232,2193,2221,2208,2199,2257,2278,2201,2256,2190,2216,2236,2205,2224,2257,2237,2209,2241,2216,2240,2254,2245,2244,2208,2189,2250,2257,2137,2242,2181,2222,2147,2288,2158,2217,2255,2201,2239,2282,2161,2174,2224,2189,2258,2227,2134,2194,2192,2192,2203,2230,2270,2229,2158,2234,2260,2178,2221,2202
5.0,1287,1236,1245,1248,1254,1216,1275,1291,1222,1271,1272,1267,1254,1215,1206,1309,1258,1267,1299,1253,1263,1237,1271,1246,1241,1237,1199,1286,1260,1209,1225,1260,1229,1228,1251,1244,1256,1256,1304,1230,1257,1216,1209,1248,1229,1255,1266,1209,1194,1272,1255,1267,1256,1215,1235,1282,1253,1318,1263,1259,1196,1290,1300,1287,1250,1263,1252,1283,1266,1286,1191,1260,1213,1294,1178,1213,1274,1277,1245,1250,1209,1238,1241,1240,1250,1265,1263,1238,1253,1179,1231,1224,1264,1230,1264,1198,1185,1246,1244,1309
6.0,850,788,822,809,835,835,791,869,792,808,818,816,784,831,829,839,850,802,831,811,796,840,862,833,796,826,823,857,813,817,876,849,810,838,831,860,837,847,829,849,836,854,817,852,803,833,883,861,795,801,802,793,807,800,835,833,828,785,816,810,839,865,842,838,815,818,842,812,784,823,827,812,809,898,817,817,861,793,805,816,833,817,830,842,818,818,793,793,826,813,816,801,844,817,834,806,835,834,802,851
7.0,640,597,624,576,580,626,614,614,620,601,590,601,619,571,610,613,581,587,592,639,595,612,594,576,611,627,569,589,608,594,615,555,620,598,621,582,601,595,608,599,551,622,573,604,567,613,579,590,605,622,592,619,601,567,610,615,563,609,586,585,588,627,620,582,575,590,609,584,576,572,566,601,597,625,584,597,597,596,612,585,596,591,576,562,587,599,593,607,602,555,574,615,570,543,550,596,580,617,595,596
8.0,403,362,440,383,390,388,406,438,417,399,376,405,430,382,416,392,364,379,382,367,390,403,396,397,411,428,397,400,405,407,384,394,415,401,408,405,390,380,401,371,395,387,404,406,378,405,398,420,413,428,387,425,402,396,341,398,415,351,430,408,377,410,391,386,376,386,396,425,380,407,354,402,392,412,392,393,385,391,365,403,405,382,385,418,383,419,387,419,396,401,405,412,407,409,391,388,404,409,393,426
9.0,275,275,277,266,258,276,296,259,288,280,258,260,283,280,277,280,275,278,273,273,279,286,257,276,270,291,261,285,295,275,269,296,272,274,241,264,269,268,285,258,294,267,282,288,283,259,268,260,261,268,269,282,280,261,313,293,262,290,301,278,261,286,269,261,256,293,258,301,279,287,263,273,263,292,297,291,272,276,256,256,270,272,265,254,263,286,285,279,289,267,261,266,266,254,288,298,251,259,273,281
